@relation allchanges
@attribute "C-O" numeric
@attribute "H-O" numeric
@attribute "O-P" numeric
@attribute "C(R/S)" numeric
@attribute "C-N" numeric
@attribute "C-S" numeric
@attribute "H-N" numeric
@attribute "H-S" numeric
@attribute "CxxN*CxxN" numeric
@attribute "C-H" numeric
@attribute "C=O" numeric
@attribute "C@N" numeric
@attribute "C-C*C@C" numeric
@attribute "C-N*C=N" numeric
@attribute "C-N*C@N" numeric
@attribute "CxxN" numeric
@attribute "CxxN*C-N" numeric
@attribute "C-O*C=O" numeric
@attribute "CxxN*C@N" numeric
@attribute "C=N" numeric
@attribute "CxxO" numeric
@attribute "C-C" numeric
@attribute "O=O" numeric
@attribute "OxxP" numeric
@attribute "MgxxN" numeric

@attribute ecclass {6.1.1.1_.,6.1.1.10_.,6.1.1.11_.,6.1.1.12_.,6.1.1.13_.,6.1.1.14_.,6.1.1.15_.,6.1.1.16_.,6.1.1.17_.,6.1.1.18_.,6.1.1.19_.,6.1.1.2_.,6.1.1.20_.,6.1.1.21_.,6.1.1.22_.,6.1.1.23_.,6.1.1.24_.,6.1.1.25_.,6.1.1.26_.,6.1.1.4_.,6.1.1.5_.,6.1.1.6_.,6.1.1.7_.,6.1.1.9_.,6.2.1.-_.,6.2.1.1_.,6.2.1.11_.,6.2.1.12_.,6.2.1.13_.,6.2.1.14_.,6.2.1.15_.,6.2.1.16_.,6.2.1.17_.,6.2.1.18_.,6.2.1.2_.,6.2.1.20_.,6.2.1.22_.,6.2.1.23_.,6.2.1.24_.,6.2.1.25_.,6.2.1.26_.,6.2.1.27_.,6.2.1.28_.,6.2.1.3_.,6.2.1.30_.,6.2.1.31_.,6.2.1.32_.,6.2.1.33_.,6.2.1.36_.,6.2.1.4_.,6.2.1.5_.,6.2.1.6_.,6.2.1.7_.,6.2.1.8_.,6.2.1.9_.,6.3.1.-_.,6.3.1.1_.,6.3.1.10_.,6.3.1.11_.,6.3.1.14_.,6.3.1.2_.,6.3.1.4_.,6.3.1.5_.,6.3.1.6_.,6.3.1.7_.,6.3.1.8_.,6.3.1.9_.,6.3.2.1_.,6.3.2.10_.,6.3.2.11_.,6.3.2.12_.,6.3.2.13_.,6.3.2.16_.,6.3.2.17_.,6.3.2.2_.,6.3.2.20_.,6.3.2.23_.,6.3.2.24_.,6.3.2.25_.,6.3.2.26_.,6.3.2.3_.,6.3.2.31_.,6.3.2.32_.,6.3.2.34_.,6.3.2.36_.,6.3.2.4_.,6.3.2.5_.,6.3.2.6_.,6.3.2.7_.,6.3.2.8_.,6.3.2.9_.,6.3.3.1_.,6.3.3.2_.,6.3.3.3_.,6.3.3.4_.,6.3.4.-_.,6.3.4.1_.,6.3.4.10_.,6.3.4.11_.,6.3.4.12_.,6.3.4.13_.,6.3.4.14_.,6.3.4.15_.,6.3.4.16_.,6.3.4.17_.,6.3.4.18_.,6.3.4.2_.,6.3.4.3_.,6.3.4.4_.,6.3.4.5_.,6.3.4.6_.,6.3.4.7_.,6.3.4.8_.,6.3.4.9_.,6.3.5.-_.,6.3.5.1_.,6.3.5.2_.,6.3.5.3_.,6.3.5.4_.,6.3.5.5_.,6.3.5.6_.,6.3.5.7_.,6.3.5.9_.,6.4.-.-_.,6.4.1.-_.,6.4.1.1_.,6.4.1.2_.,6.4.1.3_.,6.4.1.4_.,6.4.1.5_.,6.4.1.6_.,6.4.1.7_.,6.5.1.3_.,6.5.1.4_.,6.6.1.1_.,}
@data
2.0,4.0,4.0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.11_.
6.0,6.0,12.0,0,0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.12_.
2.0,2.0,4.0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.13_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.14_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.15_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.16_.
2.0,4.0,4.0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.17_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.18_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.2_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.20_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.22_.
1.0,1.0,2.0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.23_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.24_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.25_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.26_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.27_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.28_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.3_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.30_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.31_.
2.0,2.0,4.0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.32_.
2.0,2.0,4.0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.33_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.36_.
4.0,4.0,8.0,0,0,4.0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.4_.
2.0,2.0,4.0,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.5_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.6_.
6.0,6.0,12.0,0,0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.7_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.8_.
1.0,1.0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2.1.9_.
4.0,4.0,4.0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.-_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.1_.
2.0,2.0,4.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.10_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.11_.
1.0,2.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.14_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.2_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.4_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.5_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.6_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.7_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.8_.
6.0,6.0,12.0,2.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.1.9_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.1_.
2.0,2.0,4.0,5.0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.10_.
5.0,5.0,10.0,0,5.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.11_.
2.0,2.0,4.0,1.0,2.0,0,4.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.12_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.13_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.16_.
4.0,4.0,8.0,3.0,4.0,0,6.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.17_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.2_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.20_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.23_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.24_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.25_.
2.0,4.0,6.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.26_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.3_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.31_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.32_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.34_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.36_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.4_.
2.0,2.0,4.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.5_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.6_.
1.0,1.0,2.0,2.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.7_.
1.0,1.0,2.0,2.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.8_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.2.9_.
0,2.0,2.0,0,0,0,3.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,6.3.3.1_.
0,2.0,2.0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,6.3.3.2_.
0,2.0,2.0,0,0,0,2.0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,6.3.3.3_.
1.0,1.0,2.0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,6.3.3.4_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.-_.
0,2.0,2.0,0,1.0,0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.1_.
2.0,4.0,4.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.10_.
2.0,4.0,4.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.11_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.12_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.13_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.14_.
2.0,4.0,4.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.15_.
0,3.0,4.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,6.3.4.16_.
1.0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.17_.
1.0,2.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.18_.
1.0,5.0,4.0,0,3.0,0,3.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.2_.
1.0,1.0,2.0,0,1.0,0,3.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.3_.
0,2.0,2.0,0,1.0,0,2.0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,6.3.4.4_.
0,2.0,2.0,0,1.0,0,2.0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.5_.
1.0,2.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.6_.
1.0,1.0,2.0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.7_.
1.0,3.0,2.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.8_.
2.0,4.0,4.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.4.9_.
5.0,5.0,6.0,10.0,5.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.5.-_.
3.0,3.0,4.0,0,3.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.5.1_.
2.0,8.0,6.0,0,5.0,0,4.0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.5.2_.
1.0,3.0,2.0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,6.3.5.3_.
4.0,4.0,4.0,0,4.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.5.4_.
4.0,10.0,8.0,0,4.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.5.5_.
2.0,2.0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.5.6_.
2.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.5.7_.
4.0,4.0,4.0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3.5.9_.
0,5.0,0,2.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,3.0,0,0,2.0,1.0,1.0,0,0,6.4.-.-_.
0,4.0,2.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,2.0,0,0,0,2.0,0,0,0,6.4.1.-_.
1.0,2.0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,6.4.1.1_.
1.0,3.0,2.0,1.0,1.0,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,6.4.1.2_.
2.0,4.0,4.0,1.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,6.4.1.3_.
1.0,2.0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,6.4.1.4_.
1.0,2.0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,6.4.1.5_.
0,5.0,4.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,6.4.1.6_.
1.0,2.0,2.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,6.4.1.7_.
0,2.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,6.5.1.3_.
0,2.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,6.5.1.4_.
0,2.0,2.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6.6.1.1_.
